Estado;CodigoCatalogo;Marca;Imagen;HojaExcel;FilasExcel;NombreReferencia
LISTO;BC 078 L;DAISA;catalogador-v2-df32e23b1aa7e7d8.jpg;DAISA;E172:E185;abrazadera completa
LISTO;BC 100 L;DAISA;catalogador-v2-df32e23b1aa7e7d8.jpg;DAISA;E172:E185;abrazadera completa
LISTO;BC 110 L;DAISA;catalogador-v2-df32e23b1aa7e7d8.jpg;DAISA;E172:E185;abrazadera completa
LISTO;BC 112 L;DAISA;catalogador-v2-df32e23b1aa7e7d8.jpg;DAISA;E172:E185;abrazadera completa
LISTO;BC 200 L;DAISA;catalogador-v2-df32e23b1aa7e7d8.jpg;DAISA;E172:E185;abrazadera completa
LISTO;BCT 010 L;DAISA;catalogador-v2-df32e23b1aa7e7d8.jpg;DAISA;E172:E185;abrazadera completa
LISTO;BCT 034 L;DAISA;catalogador-v2-df32e23b1aa7e7d8.jpg;DAISA;E172:E185;abrazadera completa
LISTO;BCT 078 L;DAISA;catalogador-v2-df32e23b1aa7e7d8.jpg;DAISA;E172:E185;abrazadera completa
LISTO;BCT 100 L;DAISA;catalogador-v2-df32e23b1aa7e7d8.jpg;DAISA;E172:E185;abrazadera completa
LISTO;BCT 110 L;DAISA;catalogador-v2-df32e23b1aa7e7d8.jpg;DAISA;E172:E185;abrazadera completa
LISTO;BCT 112 L;DAISA;catalogador-v2-df32e23b1aa7e7d8.jpg;DAISA;E172:E185;abrazadera completa
LISTO;BCT 200 L;DAISA;catalogador-v2-df32e23b1aa7e7d8.jpg;DAISA;E172:E185;abrazadera completa
LISTO;BM 034 012;DAISA;catalogador-v2-62815024deb9fcf6.jpg;DAISA;E204:E209;buje reducción
LISTO;BM 078 034;DAISA;catalogador-v2-62815024deb9fcf6.jpg;DAISA;E204:E209;buje reducción
LISTO;BM 100 034;DAISA;catalogador-v2-62815024deb9fcf6.jpg;DAISA;E204:E209;buje reducción
LISTO;BM 110 100;DAISA;catalogador-v2-62815024deb9fcf6.jpg;DAISA;E204:E209;buje reducción
LISTO;BM 112 100;DAISA;catalogador-v2-62815024deb9fcf6.jpg;DAISA;E204:E209;buje reducción
LISTO;BM 200 112;DAISA;catalogador-v2-62815024deb9fcf6.jpg;DAISA;E204:E209;buje reducción
LISTO;BPN-04;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E14:E21;borne de paso
LISTO;BPN-04-AM;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E14:E21;borne de paso
LISTO;BPN-04-AZ;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E14:E21;borne de paso
LISTO;BPN-04-MA;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E14:E21;borne de paso
LISTO;BPN-04-NA;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E14:E21;borne de paso
LISTO;BPN-04-NG;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E14:E21;borne de paso
LISTO;BPN-04-RO;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E14:E21;borne de paso
LISTO;BPN-04-VE;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E14:E21;borne de paso
LISTO;BPN-06;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E24:E31;borne de paso
LISTO;BPN-06-AM;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E24:E31;borne de paso
LISTO;BPN-06-AZ;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E24:E31;borne de paso
LISTO;BPN-06-MA;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E24:E31;borne de paso
LISTO;BPN-06-NA;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E24:E31;borne de paso
LISTO;BPN-06-NG;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E24:E31;borne de paso
LISTO;BPN-06-RO;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E24:E31;borne de paso
LISTO;BPN-06-VE;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E24:E31;borne de paso
LISTO;BPN-10;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E34:E45;borne de paso
LISTO;BPN-10-AZ;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E34:E45;borne de paso
LISTO;BPN-16;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E34:E45;borne de paso
LISTO;BPN-16-AZ;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E34:E45;borne de paso
LISTO;BPN-2,5;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E4:E11;borne de paso
LISTO;BPN-2,5-AM;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E4:E11;borne de paso
LISTO;BPN-2,5-AZ;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E4:E11;borne de paso
LISTO;BPN-2,5-MA;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E4:E11;borne de paso
LISTO;BPN-2,5-NA;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E4:E11;borne de paso
LISTO;BPN-2,5-NG;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E4:E11;borne de paso
LISTO;BPN-2,5-RO;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E4:E11;borne de paso
LISTO;BPN-2,5-VE;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E4:E11;borne de paso
LISTO;BPN-35;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E34:E45;borne de paso
LISTO;BPN-35-AZ;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E34:E45;borne de paso
LISTO;BPN-50;Zoloda;catalogador-v2-5144bf900cd0f01e.png;ZOLODA Borneras;E34:E45;borne de paso
LISTO;BR 012;DAISA;catalogador-v2-8621cff7b2f770c3.jpg;DAISA;E227:E231;rosca
LISTO;BR 034;DAISA;catalogador-v2-8621cff7b2f770c3.jpg;DAISA;E227:E231;rosca
LISTO;BR 100;DAISA;catalogador-v2-8621cff7b2f770c3.jpg;DAISA;E227:E231;rosca
LISTO;BR 112;DAISA;catalogador-v2-8621cff7b2f770c3.jpg;DAISA;E227:E231;rosca
LISTO;BR 200;DAISA;catalogador-v2-8621cff7b2f770c3.jpg;DAISA;E227:E231;rosca
LISTO;BSLKN-04;Zoloda;catalogador-v2-257609ff55e0616e.png;ZOLODA Borneras;E48:E52;borne de tierra
